dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,18,50048,0.0000,0.7500,0.6607,0.7901,18.6250,18.7500
kv_retrieval,19,50048,0.0003,0.7344,0.7637,0.7545,16.1250,19.0000
kv_retrieval,20,50048,0.0000,0.4941,0.5857,0.8009,16.7500,17.0000
kv_retrieval,21,50048,0.0000,0.4609,0.6643,0.7467,18.0000,17.3750
kv_retrieval,22,50048,0.0004,0.6406,0.7056,0.8169,16.5000,15.8125
kv_retrieval,23,50048,0.0000,0.4277,0.7056,0.8244,18.8750,16.8750
kv_retrieval,24,50048,0.0000,0.5117,0.6311,0.8152,12.7500,18.8750
kv_retrieval,25,50048,0.0000,0.7227,0.7785,0.8509,19.8750,18.2500
kv_retrieval,26,50048,0.0000,0.7734,0.8410,0.8882,17.0000,18.1250
kv_retrieval,27,50048,0.0000,1.0391,0.7746,0.8347,55.7500,22.6250
kv_retrieval,0,100224,2.0781,7.1250,0.7042,0.8039,179.0000,19.8750
kv_retrieval,1,100224,0.9180,6.5312,0.8384,0.9484,16.0000,9.3750
kv_retrieval,2,100224,0.0015,2.6875,0.7003,0.9562,10.3750,10.8125
kv_retrieval,3,100224,0.0454,3.6875,0.7891,0.9604,12.0625,9.8125
kv_retrieval,4,100224,0.0000,0.7656,0.7545,0.9090,23.6250,21.8750
kv_retrieval,5,100224,0.0000,0.9023,0.7598,0.9493,22.2500,19.7500
kv_retrieval,6,100224,0.0004,1.7891,0.7553,0.9280,32.0000,20.1250
kv_retrieval,7,100224,0.0000,1.1562,0.7508,0.9086,18.6250,17.0000
kv_retrieval,8,100224,0.0000,1.0859,0.7095,0.9320,22.1250,22.1250
kv_retrieval,9,100224,0.0015,1.3359,0.7522,0.9414,16.8750,16.0000
kv_retrieval,10,100224,0.0003,1.1719,0.6814,0.8919,21.8750,22.3750
kv_retrieval,11,100224,0.0000,0.7539,0.5299,0.8499,21.5000,22.7500
kv_retrieval,12,100224,0.0000,1.1328,0.6674,0.8612,25.8750,18.5000
kv_retrieval,13,100224,0.0046,1.2969,0.6696,0.9150,24.6250,15.7500
kv_retrieval,14,100224,0.0000,0.4336,0.7358,0.8980,15.7500,17.8750
kv_retrieval,15,100224,0.0000,0.8320,0.7232,0.9047,20.0000,19.3750
